SpeciesCat_ISSCAAP_code,Species_AFSIS,CommName,Family,Order
31,Pleuronectes quadrituberculatus,,,
31,Reinhardtius stomias,,,
37,Scomber australacius,,,
45,Farfantepenaeus aztecus,,,
34,Sebastes variabilis,,,
31,Parophrys vetulus,,,
42,Lithodes aequispinus,,,
34,Sebastes norvegicus,,,
33,Balistes capriscus,,,
33,Chrysophrys auratus,,,
39,Zoarces americanus,,,
56,Panopea generosa,,,
45,Farfantepenaeus duorarum,,,
31,Solea vulgaris,,,
36,Kajikia audax,,,
39,Neoplatycephalus richardsoni,,,
36,Makaira spp,Marlins nei,Istiophoridae,SCOMBROIDEI
76,Holothuria spp,,Holothuriidae,HOLOTHUROIDEA
45,Oplophoridae,,Oplophoridae,NATANTIA
45,Nematocarcinidae,,Nematocarcinidae,NATANTIA
91,Sargassum spp,,Sargassaceae,PHAEOPHYCEAE
92,Meristotheca spp,,Solieriaceae,RHODOPHYCEAE
11,Carassius spp,,Cyprinidae,CYPRINIFORMES
13,Heterobranchus spp,Heterobranchus catfish nei,Clariidae,SILURIFORMES
13,Parachanna spp,Parachanna snakeheads nei,Channidae,OTHER PERCIFORMES
57,Histioteuthis spp,,Histioteuthidae,CEPHALOPODA
32,Nezumia spp,,Macrouridae,GADIFORMES
32,Malacocephalus spp,,Macrouridae,GADIFORMES
34,Notopogon spp,,Macroramphosidae,SYNGNATHIFORMES
33,Plectropomus spp,Coralgroupers nei,Serranidae,PERCOIDEI
38,Scymnodon spp,Scymnodon dogfishes nei,Squalidae,SQUALIFORMES
35,Sardinops spp,Pilchards nei,Clupeidae,CLUPEIFORMES
42,Geryon spp,Geryons nei,Geryonidae,BRACHYURA
34,Uranoscopidae,Stargazers nei,Uranoscopidae,TRACHINOIDEI
33,Tripterygiidae,Threefin blennies nei,Tripterygiidae,OTHER PERCIFORMES
37,Tetragonurus spp,Squaretails nei,Tetragonuridae,"STROMATEOIDEI, ANABANTOIDEI"
33,Syngnathidae,"Pipefishes, seahorses nei",Syngnathidae,SYNGNATHIFORMES
33,Percophidae,Duckbills nei,Percophidae,TRACHINOIDEI
34,Notacanthidae,Deep-sea spiny eels nei,Notacanthidae,NOTACANTHIFORMES
37,Nomeidae,Driftfishes nei,Nomeidae,"STROMATEOIDEI, ANABANTOIDEI"
33,Moringuidae,Spaghetti eels nei,Moringuidae,ANGUILLIFORMES
34,Muraenesocidae,,Muraenesocidae,ANGUILLIFORMES
33,Cestraeus spp,River mullets nei,Mugilidae,MUGILIFORMES
13,Astyanax spp,Astyanax nei,Characidae,CHARACIFORMES
34,Anguilliformes,"Eels, morays, congers nei",,ANGUILLIFORMES
81,Pinctada spp,Pearl oysters nei,Pteriidae,BIVALVIA
52,Turbo spp,Turbans nei,Turbinidae,GASTROPODA
13,Leiarius marmoratus x P. reticulatum,,Pimelodidae,SILURIFORMES
13,Pseudopl. corruscans x P. reticulatum,,Pimelodidae,SILURIFORMES
13,Channa maculata x C. argus,,Channidae,OTHER PERCIFORMES
12,Oreochromis andersonii x O. niloticus,,Cichlidae,PERCOIDEI
13,Ictalurus punctatus x I. furcatus,"Channel-blue catfish, hybrid",Ictaluridae,SILURIFORMES
13,P. mesopotamicus x P. brachypomus,"Patinga, hybrid",Characidae,CHARACIFORMES
37,Molidae,Ocean sunfishes nei,Molidae,TETRAODONTIFORMES
33,Microdesmidae,Wormfishes nei,Microdesmidae,GOBIOIDEI
34,Himantolophus spp,,Himantolophidae,LOPHIIFORMES
